Species;Otdel;N;B;Date;Horizon;Station
Oxytoxum sceptrum;Dino;150.00;0.05;2012-12-31;0;Садок
Eutreptia lanowii;Eugle;21.00;0.02;2012-12-31;0;Садок
Chaetoceros debilis;Bacil;30857.00;33.63;2012-12-31;5;Садок
Chaetoceros decipiens;Bacil;429.00;3.65;2012-12-31;5;Садок
Chaetoceros mitra;Bacil;86.00;0.73;2012-12-31;5;Садок
Coscinodiscus sp.;Bacil;21.00;1.03;2012-12-31;5;Садок
Ceratoneis closterium;Bacil;21.00;0.01;2012-12-31;5;Садок
Ditylum brightwellii;Bacil;21.00;1.02;2012-12-31;5;Садок
Grammatophora marina;Bacil;279.00;3.05;2012-12-31;5;Садок
Hemiaulus hauckii;Bacil;21.00;0.20;2012-12-31;5;Садок
Licmophora abbreviata;Bacil;343.00;0.21;2012-12-31;5;Садок
Navicula transitans var. derasa;Bacil;686.00;1.04;2012-12-31;5;Садок
Navicula sp.;Bacil;21.00;0.04;2012-12-31;5;Садок
Pseudo–nitzschia delicatissima;Bacil;64.00;0.01;2012-12-31;5;Садок
Odontella aurita;Bacil;86.00;2.10;2012-12-31;5;Садок
Pleurosigma formosum;Bacil;43.00;2.57;2012-12-31;5;Садок
Rhizosolenia pungens;Bacil;279.00;6.82;2012-12-31;5;Садок
Thalassionema frauenfeldii;Bacil;536.00;5.45;2012-12-31;5;Садок
Thalassionema nitzschioides;Bacil;386.00;1.72;2012-12-31;5;Садок
Thalassiosira nordenskioeldii;Bacil;29829.00;1264.43;2012-12-31;5;Садок
Cryptomonas sp.;Cryp;86.00;0.02;2012-12-31;5;Садок
Amphidinium sphaenoides;Dino;21.00;0.07;2012-12-31;5;Садок
Gyrodinium spirale;Dino;171.00;19.00;2012-12-31;5;Садок
Oxytoxum sceptrum;Dino;236.00;0.08;2012-12-31;5;Садок
Protoperidinium brevipes;Dino;21.00;0.14;2012-12-31;5;Садок
Chaetoceros debilis;Bacil;8571.00;9.34;2013-01-16;0;Садок
Chaetoceros decipiens;Bacil;450.00;3.83;2013-01-16;0;Садок
Grammatophora marina;Bacil;43.00;0.47;2013-01-16;0;Садок
Hemiaulus sinensis;Bacil;21.00;0.21;2013-01-16;0;Садок
Licmophora abbreviata;Bacil;21.00;0.01;2013-01-16;0;Садок
Navicula transitans var. derasa;Bacil;86.00;0.13;2013-01-16;0;Садок
Navicula directa;Bacil;43.00;0.08;2013-01-16;0;Садок
Navicula sp.;Bacil;86.00;0.16;2013-01-16;0;Садок
Pseudo–nitzschia pungens;Bacil;64.00;0.96;2013-01-16;0;Садок
Pleurosigma formosum;Bacil;21.00;1.29;2013-01-16;0;Садок
Thalassionema frauenfeldii;Bacil;214.00;2.18;2013-01-16;0;Садок
Thalassionema nitzschioides;Bacil;343.00;1.52;2013-01-16;0;Садок
Thalassiosira nordenskioeldii;Bacil;17314.00;733.95;2013-01-16;0;Садок
Gyrodinium spirale;Dino;107.00;11.88;2013-01-16;0;Садок
Oxytoxum sceptrum;Dino;86.00;0.03;2013-01-16;0;Садок
Chaetoceros debilis;Bacil;19200.00;20.93;2013-01-16;2;Садок
Chaetoceros decipiens;Bacil;750.00;6.39;2013-01-16;2;Садок
Chaetoceros mitra;Bacil;171.00;1.46;2013-01-16;2;Садок
Ceratoneis closterium;Bacil;43.00;0.02;2013-01-16;2;Садок
Eucampia zodiacus;Bacil;43.00;0.72;2013-01-16;2;Садок
Grammatophora marina;Bacil;86.00;0.94;2013-01-16;2;Садок
Navicula transitans var. derasa;Bacil;343.00;0.52;2013-01-16;2;Садок
Navicula sp.;Bacil;107.00;0.20;2013-01-16;2;Садок
Pseudo–nitzschia delicatissima;Bacil;21.00;0.00;2013-01-16;2;Садок
Odontella aurita;Bacil;21.00;0.53;2013-01-16;2;Садок
Pseudo–nitzschia pungens;Bacil;43.00;0.64;2013-01-16;2;Садок
Thalassionema frauenfeldii;Bacil;386.00;3.92;2013-01-16;2;Садок
Thalassionema nitzschioides;Bacil;729.00;3.24;2013-01-16;2;Садок
Thalassiosira nordenskioeldii;Bacil;25543.00;1082.76;2013-01-16;2;Садок
Cryptomonas sp.;Cryp;43.00;0.01;2013-01-16;2;Садок
Dinophysis acuminata;Dino;21.00;0.79;2013-01-16;2;Садок
Oxytoxum sceptrum;Dino;107.00;0.03;2013-01-16;2;Садок
Protoperidinium pyriforme;Dino;21.00;0.80;2013-01-16;2;Садок
Eutreptia lanowii;Eugle;21.00;0.02;2013-01-16;2;Садок
Chaetoceros debilis;Bacil;4114.00;4.49;2013-02-01;0;Садок
Chaetoceros decipiens;Bacil;129.00;1.10;2013-02-01;0;Садок
Chaetoceros mitra;Bacil;64.00;0.55;2013-02-01;0;Садок
Chaetoceros peruvianus;Bacil;86.00;0.19;2013-02-01;0;Садок
Navicula transitans var. derasa;Bacil;193.00;0.29;2013-02-01;0;Садок
Odontella aurita;Bacil;43.00;1.05;2013-02-01;0;Садок
Pseudo–nitzschia pungens;Bacil;86.00;1.29;2013-02-01;0;Садок
Thalassionema frauenfeldii;Bacil;171.00;1.74;2013-02-01;0;Садок
Thalassionema nitzschioides;Bacil;107.00;0.48;2013-02-01;0;Садок
Thalassiosira nordenskioeldii;Bacil;10714.00;454.18;2013-02-01;0;Садок
Cryptomonas sp.;Cryp;86.00;0.02;2013-02-01;0;Садок
Oxytoxum sceptrum;Dino;43.00;0.01;2013-02-01;0;Садок
Chaetoceros debilis;Bacil;3471.00;3.78;2013-02-01;2;Садок
Chaetoceros decipiens;Bacil;86.00;0.73;2013-02-01;2;Садок
Chaetoceros mitra;Bacil;43.00;0.37;2013-02-01;2;Садок
Chaetoceros peruvianus;Bacil;86.00;0.19;2013-02-01;2;Садок
Grammatophora marina;Bacil;64.00;0.70;2013-02-01;2;Садок
Navicula transitans var. derasa;Bacil;257.00;0.39;2013-02-01;2;Садок
Navicula directa;Bacil;21.00;0.04;2013-02-01;2;Садок
Tabularia fasciculata;Bacil;21.00;4.50;2013-02-01;2;Садок
Thalassionema frauenfeldii;Bacil;86.00;0.87;2013-02-01;2;Садок
Thalassionema nitzschioides;Bacil;150.00;0.67;2013-02-01;2;Садок
Thalassiosira nordenskioeldii;Bacil;11229.00;475.98;2013-02-01;2;Садок
Cryptomonas sp.;Cryp;21.00;0.01;2013-02-01;2;Садок
Chaetoceros debilis;Bacil;15600.00;17.00;2013-02-01;5;Садок
Chaetoceros decipiens;Bacil;86.00;0.73;2013-02-01;5;Садок
Chaetoceros mitra;Bacil;107.00;0.91;2013-02-01;5;Садок
Chaetoceros peruvianus;Bacil;129.00;0.29;2013-02-01;5;Садок
Ceratoneis closterium;Bacil;21.00;0.01;2013-02-01;5;Садок
Licmophora abbreviata;Bacil;21.00;0.01;2013-02-01;5;Садок
Navicula transitans var. derasa;Bacil;1007.00;1.52;2013-02-01;5;Садок
Odontella aurita;Bacil;43.00;1.05;2013-02-01;5;Садок
Thalassionema frauenfeldii;Bacil;321.00;3.27;2013-02-01;5;Садок
Thalassionema nitzschioides;Bacil;214.00;0.95;2013-02-01;5;Садок
Thalassiosira nordenskioeldii;Bacil;19543.00;828.42;2013-02-01;5;Садок
Cryptomonas sp.;Cryp;21.00;0.01;2013-02-01;5;Садок
Gyrodinium spirale;Dino;43.00;4.75;2013-02-01;5;Садок
Oxytoxum sceptrum;Dino;193.00;0.06;2013-02-01;5;Садок
Chaetoceros convolutus;Bacil;100.00;0.68;2013-02-12;0;Садок
Chaetoceros decipiens;Bacil;29.00;0.24;2013-02-12;0;Садок
Chaetoceros didymus;Bacil;4114.00;6.99;2013-02-12;0;Садок
Chaetoceros peruvianus;Bacil;43.00;0.10;2013-02-12;0;Садок
Licmophora abbreviata;Bacil;14.00;0.01;2013-02-12;0;Садок
Navicula transitans var. derasa;Bacil;57.00;0.09;2013-02-12;0;Садок
Navicula directa;Bacil;14.00;0.03;2013-02-12;0;Садок
Thalassionema frauenfeldii;Bacil;129.00;1.31;2013-02-12;0;Садок
Thalassionema nitzschioides;Bacil;114.00;0.51;2013-02-12;0;Садок
Thalassiosira punctigera;Bacil;429.00;49.46;2013-02-12;0;Садок
Thalassiosira nordenskioeldii;Bacil;10971.00;465.08;2013-02-12;0;Садок
Gyrodinium spirale;Dino;14.00;1.58;2013-02-12;0;Садок
Oxytoxum sceptrum;Dino;14.00;0.01;2013-02-12;0;Садок
Protoperidinium sp.;Dino;14.00;0.15;2013-02-12;0;Садок
Dictyocha speculum;Chry;14.00;0.05;2013-02-12;2;Садок
Chaetoceros convolutus;Bacil;43.00;0.29;2013-02-12;2;Садок
Chaetoceros debilis;Bacil;929.00;1.01;2013-02-12;2;Садок
Chaetoceros decipiens;Bacil;14.00;0.12;2013-02-12;2;Садок
Chaetoceros peruvianus;Bacil;14.00;0.03;2013-02-12;2;Садок
Cocconeis scutellum;Bacil;43.00;0.06;2013-02-12;2;Садок
Ditylum brightwellii;Bacil;14.00;0.68;2013-02-12;2;Садок
Licmophora abbreviata;Bacil;43.00;0.03;2013-02-12;2;Садок
Navicula transitans var. derasa;Bacil;86.00;0.13;2013-02-12;2;Садок
Navicula directa;Bacil;57.00;0.11;2013-02-12;2;Садок
Odontella aurita;Bacil;29.00;0.70;2013-02-12;2;Садок
Thalassionema frauenfeldii;Bacil;100.00;1.02;2013-02-12;2;Садок
Thalassionema nitzschioides;Bacil;157.00;0.70;2013-02-12;2;Садок
Thalassiosira punctigera;Bacil;100.00;11.54;2013-02-12;2;Садок
Thalassiosira nordenskioeldii;Bacil;7371.00;312.48;2013-02-12;2;Садок
Gyrodinium fusiforme;Dino;14.00;0.38;2013-02-12;2;Садок
Gyrodinium spirale;Dino;43.00;4.75;2013-02-12;2;Садок
Oxytoxum sceptrum;Dino;86.00;0.03;2013-02-12;2;Садок
Chaetoceros debilis;Bacil;6114.00;6.67;2013-02-12;5;Садок
Chaetoceros decipiens;Bacil;29.00;0.24;2013-02-12;5;Садок
Navicula transitans var. derasa;Bacil;286.00;0.43;2013-02-12;5;Садок
Navicula directa;Bacil;29.00;0.05;2013-02-12;5;Садок
Pseudo–nitzschia pungens;Bacil;43.00;0.64;2013-02-12;5;Садок
Pleurosigma formosum;Bacil;29.00;1.71;2013-02-12;5;Садок
Thalassionema frauenfeldii;Bacil;129.00;1.31;2013-02-12;5;Садок
Thalassionema nitzschioides;Bacil;214.00;0.95;2013-02-12;5;Садок
Thalassiosira nordenskioeldii;Bacil;13829.00;586.19;2013-02-12;5;Садок
Cryptomonas sp.;Cryp;29.00;0.01;2013-02-12;5;Садок
Gyrodinium spirale;Dino;29.00;3.17;2013-02-12;5;Садок
Oxytoxum sceptrum;Dino;86.00;0.03;2013-02-12;5;Садок
Protoperidinium pellucidum;Dino;14.00;0.13;2013-02-12;5;Садок
Chaetoceros atlanticus;Bacil;71.00;0.87;2013-02-26;0;Садок
Chaetoceros convolutus;Bacil;186.00;1.27;2013-02-26;0;Садок
Chaetoceros debilis;Bacil;814.00;0.89;2013-02-26;0;Садок
Gyrosigma fasciola;Bacil;14.00;0.16;2013-02-26;0;Садок
Licmophora abbreviata;Bacil;443.00;0.27;2013-02-26;0;Садок
Navicula transitans var. derasa;Bacil;14.00;0.02;2013-02-26;0;Садок
Navicula directa;Bacil;71.00;0.13;2013-02-26;0;Садок
Thalassiosira nordenskioeldii;Bacil;186.00;7.87;2013-02-26;0;Садок
Cryptomonas sp.;Cryp;29.00;0.01;2013-02-26;0;Садок
Oxytoxum sceptrum;Dino;29.00;0.01;2013-02-26;0;Садок
Protoperidinium pellucidum;Dino;43.00;0.39;2013-02-26;0;Садок
Protoperidinium pyriforme;Dino;14.00;0.54;2013-02-26;0;Садок
Small flagellata;Small flagellata;71.00;0.00;2013-02-26;0;Садок
Chaetoceros convolutus;Bacil;57.00;0.39;2013-02-26;2;Садок
Chaetoceros debilis;Bacil;600.00;0.65;2013-02-26;2;Садок
Chaetoceros didymus;Bacil;743.00;1.26;2013-02-26;2;Садок
Hemiaulus sinensis;Bacil;14.00;0.14;2013-02-26;2;Садок
Pyxidicula nipponica;Bacil;43.00;0.61;2013-02-26;2;Садок
Thalassionema frauenfeldii;Bacil;29.00;0.29;2013-02-26;2;Садок
Thalassiosira nordenskioeldii;Bacil;1000.00;42.39;2013-02-26;2;Садок
Thalassiothrix longissima;Bacil;29.00;0.24;2013-02-26;2;Садок
Cryptomonas sp.;Cryp;57.00;0.01;2013-02-26;2;Садок
Gymnodinium sp.;Dino;14.00;0.06;2013-02-26;2;Садок
Gyrodinium fusiforme;Dino;57.00;1.53;2013-02-26;2;Садок
Oxytoxum sceptrum;Dino;114.00;0.04;2013-02-26;2;Садок
Protoperidinium sp.;Dino;29.00;0.31;2013-02-26;2;Садок
Dictyocha speculum;Chry;29.00;0.10;2013-02-26;5;Садок
Chaetoceros convolutus;Bacil;29.00;0.20;2013-02-26;5;Садок
Chaetoceros debilis;Bacil;386.00;0.42;2013-02-26;5;Садок
Ceratoneis closterium;Bacil;14.00;0.01;2013-02-26;5;Садок
Licmophora abbreviata;Bacil;14.00;0.01;2013-02-26;5;Садок
Navicula transitans var. derasa;Bacil;14.00;0.02;2013-02-26;5;Садок
Thalassionema frauenfeldii;Bacil;43.00;0.44;2013-02-26;5;Садок
Thalassionema nitzschioides;Bacil;71.00;0.32;2013-02-26;5;Садок
Thalassiosira nordenskioeldii;Bacil;1300.00;55.11;2013-02-26;5;Садок
Gyrodinium fusiforme;Dino;43.00;1.15;2013-02-26;5;Садок
Oxytoxum sceptrum;Dino;57.00;0.02;2013-02-26;5;Садок
Protoperidinium sp.;Dino;14.00;0.15;2013-02-26;5;Садок
Protoperidinium pellucidum;Dino;29.00;0.26;2013-02-26;5;Садок
Small flagellata;Small flagellata;329.00;0.01;2013-02-26;5;Садок
Chrysochromulina sp.;Chry;13714286.00;960.00;2013-03-12;0;Садок
Dinophysis rotundata;Dino;286.00;3.39;2013-03-12;0;Садок
Oxytoxum sceptrum;Dino;571.00;0.18;2013-03-12;0;Садок
Protoperidinium bipes;Dino;571.00;1.48;2013-03-12;0;Садок
Protoperidinium depressum;Dino;143.00;78.11;2013-03-12;0;Садок
Protoperidinium pyriforme;Dino;429.00;16.07;2013-03-12;0;Садок
Eutreptia lanowii;Eugle;286.00;0.30;2013-03-12;0;Садок
Chaetoceros convolutus;Bacil;1929.00;13.17;2013-03-12;2;Садок
Chaetoceros debilis;Bacil;3214.00;3.50;2013-03-12;2;Садок
Chaetoceros didymus;Bacil;514.00;0.87;2013-03-12;2;Садок
Ceratoneis closterium;Bacil;257.00;0.14;2013-03-12;2;Садок
Licmophora abbreviata;Bacil;386.00;0.23;2013-03-12;2;Садок
Navicula transitans var. derasa;Bacil;771.00;1.17;2013-03-12;2;Садок
Navicula directa;Bacil;1029.00;1.93;2013-03-12;2;Садок
Nitzschia sp.;Bacil;129.00;0.32;2013-03-12;2;Садок
Thalassionema frauenfeldii;Bacil;129.00;1.31;2013-03-12;2;Садок
Thalassionema nitzschioides;Bacil;514.00;2.29;2013-03-12;2;Садок
Thalassiosira nordenskioeldii;Bacil;25071.00;1062.78;2013-03-12;2;Садок
Thalassiosira sp. (d=32);Bacil;2700.00;21.70;2013-03-12;2;Садок
Gymnodinium sp.;Dino;257.00;0.15;2013-03-12;2;Садок
Gyrodinium spirale;Dino;900.00;99.77;2013-03-12;2;Садок
Oxytoxum sceptrum;Dino;771.00;0.25;2013-03-12;2;Садок
Oblea rotundata;Dino;257.00;1.21;2013-03-12;2;Садок
Protoperidinium leonis;Dino;129.00;17.66;2013-03-12;2;Садок
Protoperidinium pellucidum;Dino;386.00;3.47;2013-03-12;2;Садок
Chrysochromulina sp.;Chry;300.00;0.02;2013-03-12;5;Садок
Chaetoceros contortus;Bacil;750.00;1.84;2013-03-12;5;Садок
Chaetoceros convolutus;Bacil;1950.00;13.31;2013-03-12;5;Садок
Chaetoceros debilis;Bacil;1950.00;2.13;2013-03-12;5;Садок
Chaetoceros decipiens;Bacil;750.00;6.39;2013-03-12;5;Садок
Cocconeis scutellum;Bacil;450.00;0.59;2013-03-12;5;Садок
Coscinodiscus oculus–iridis;Bacil;300.00;282.60;2013-03-12;5;Садок
Ceratoneis closterium;Bacil;150.00;0.08;2013-03-12;5;Садок
Navicula directa;Bacil;300.00;0.56;2013-03-12;5;Садок
Pyxidicula nipponica;Bacil;300.00;13.99;2013-03-12;5;Садок
Rhizosolenia setigera;Bacil;300.00;14.68;2013-03-12;5;Садок
Thalassionema frauenfeldii;Bacil;150.00;1.53;2013-03-12;5;Садок
Thalassiosira nordenskioeldii;Bacil;132000.00;5595.48;2013-03-12;5;Садок
Cryptomonas sp.;Cryp;1050.00;0.24;2013-03-12;5;Садок
Alexandrium tamarense;Dino;150.00;3.13;2013-03-12;5;Садок
Gyrodinium fusiforme;Dino;600.00;16.07;2013-03-12;5;Садок
Gyrodinium sp.;Dino;150.00;16.63;2013-03-12;5;Садок
Gyrodinium spirale;Dino;1800.00;199.54;2013-03-12;5;Садок
Oxytoxum sceptrum;Dino;600.00;0.19;2013-03-12;5;Садок
Oblea rotundata;Dino;150.00;0.71;2013-03-12;5;Садок
Protoperidinium pellucidum;Dino;750.00;6.75;2013-03-12;5;Садок
Protoperidinium pyriforme;Dino;300.00;11.25;2013-03-12;5;Садок
Chrysochromulina sp.;Chry;9942857.00;696.00;2013-03-26;0;Садок
Chrysochromulina sp.;Chry;100571.00;7.04;2013-03-26;2;Садок
Dictyocha speculum;Chry;143.00;0.49;2013-03-26;2;Садок
Attheya sp.;Bacil;143.00;0.05;2013-03-26;2;Садок
Chaetoceros atlanticus;Bacil;143.00;1.75;2013-03-26;2;Садок
Chaetoceros contortus;Bacil;1571.00;3.85;2013-03-26;2;Садок
Chaetoceros convolutus;Bacil;1143.00;7.80;2013-03-26;2;Садок
Chaetoceros debilis;Bacil;17857.00;19.46;2013-03-26;2;Садок
Chaetoceros decipiens;Bacil;571.00;4.87;2013-03-26;2;Садок
Chaetoceros didymus;Bacil;857.00;1.46;2013-03-26;2;Садок
Cocconeis scutellum;Bacil;286.00;0.37;2013-03-26;2;Садок
Ceratoneis closterium;Bacil;429.00;0.24;2013-03-26;2;Садок
Grammatophora marina;Bacil;143.00;1.56;2013-03-26;2;Садок
Licmophora abbreviata;Bacil;714.00;0.43;2013-03-26;2;Садок
Navicula transitans var. derasa;Bacil;143.00;0.22;2013-03-26;2;Садок
Navicula sp.;Bacil;857.00;1.61;2013-03-26;2;Садок
Navicula directa;Bacil;1429.00;2.67;2013-03-26;2;Садок
Rhizosolenia setigera;Bacil;143.00;6.99;2013-03-26;2;Садок
Synedra sp.;Bacil;143.00;0.06;2013-03-26;2;Садок
Thalassiosira nordenskioeldii;Bacil;73714.00;3124.75;2013-03-26;2;Садок
Cryptomonas sp.;Cryp;1286.00;0.29;2013-03-26;2;Садок
Gyrodinium spirale;Dino;4286.00;475.10;2013-03-26;2;Садок
Oxytoxum sceptrum;Dino;571.00;0.18;2013-03-26;2;Садок
Chrysochromulina sp.;Chry;27029.00;1.89;2013-03-26;5;Садок
Chaetoceros contortus;Bacil;629.00;1.54;2013-03-26;5;Садок
Chaetoceros convolutus;Bacil;629.00;4.29;2013-03-26;5;Садок
Chaetoceros debilis;Bacil;10843.00;11.82;2013-03-26;5;Садок
Chaetoceros decipiens;Bacil;629.00;5.35;2013-03-26;5;Садок
Ceratoneis closterium;Bacil;157.00;0.09;2013-03-26;5;Садок
Licmophora abbreviata;Bacil;629.00;0.38;2013-03-26;5;Садок
Navicula transitans var. derasa;Bacil;314.00;0.48;2013-03-26;5;Садок
Navicula directa;Bacil;314.00;0.59;2013-03-26;5;Садок
Pleurosigma formosum;Bacil;314.00;18.86;2013-03-26;5;Садок
Thalassiosira nordenskioeldii;Bacil;75429.00;3197.42;2013-03-26;5;Садок
Cryptomonas sp.;Cryp;1886.00;0.43;2013-03-26;5;Садок
Gyrodinium spirale;Dino;786.00;87.10;2013-03-26;5;Садок
Oxytoxum sceptrum;Dino;157.00;0.05;2013-03-26;5;Садок
Chaetoceros convolutus;Bacil;686.00;4.68;2013-04-09;0;Садок
Cocconeis scutellum;Bacil;686.00;0.89;2013-04-09;0;Садок
Licmophora abbreviata;Bacil;1143.00;0.69;2013-04-09;0;Садок
Navicula directa;Bacil;2057.00;3.85;2013-04-09;0;Садок
Pseudo–nitzschia pungens;Bacil;229.00;3.43;2013-04-09;0;Садок
Thalassiosira nordenskioeldii;Bacil;1371.00;58.14;2013-04-09;0;Садок
Gyrodinium spirale;Dino;457.00;50.68;2013-04-09;0;Садок
Eutreptia lanowii;Eugle;229.00;0.24;2013-04-09;0;Садок
Licmophora abbreviata;Bacil;300.00;0.18;2013-04-09;2;Садок
Melosira moniliformis;Bacil;300.00;4.27;2013-04-09;2;Садок
Navicula directa;Bacil;900.00;1.69;2013-04-09;2;Садок
Rhizosolenia setigera;Bacil;150.00;7.34;2013-04-09;2;Садок
Thalassionema frauenfeldii;Bacil;150.00;1.53;2013-04-09;2;Садок
Thalassiosira nordenskioeldii;Bacil;750.00;31.79;2013-04-09;2;Садок
Thalassiosira sp. (d=32);Bacil;1950.00;15.67;2013-04-09;2;Садок
Gyrodinium spirale;Dino;450.00;49.89;2013-04-09;2;Садок
Oxytoxum sceptrum;Dino;150.00;0.05;2013-04-09;2;Садок
Protoperidinium pellucidum;Dino;900.00;8.10;2013-04-09;2;Садок
Licmophora abbreviata;Bacil;1314.00;0.79;2013-04-09;5;Садок
Navicula transitans var. derasa;Bacil;164.00;0.25;2013-04-09;5;Садок
Navicula directa;Bacil;1314.00;2.46;2013-04-09;5;Садок
Pleurosigma formosum;Bacil;164.00;9.86;2013-04-09;5;Садок
Thalassionema frauenfeldii;Bacil;493.00;5.01;2013-04-09;5;Садок
Thalassiosira sp. (d=32);Bacil;9200.00;73.95;2013-04-09;5;Садок
Gyrodinium spirale;Dino;657.00;72.85;2013-04-09;5;Садок
Heterocapsa triquetra;Dino;164.00;0.61;2013-04-09;5;Садок
Oxytoxum sceptrum;Dino;329.00;0.11;2013-04-09;5;Садок
Protoperidinium pellucidum;Dino;657.00;5.91;2013-04-09;5;Садок
Licmophora abbreviata;Bacil;400.00;0.24;2013-04-23;0;Садок
Thalassionema nitzschioides;Bacil;600.00;2.67;2013-04-23;0;Садок
Thalassiosira nordenskioeldii;Bacil;600.00;25.43;2013-04-23;0;Садок
Gymnodinium simplex;Dino;200.00;0.06;2013-04-23;0;Садок
Gyrodinium spirale;Dino;1400.00;155.20;2013-04-23;0;Садок
Oxytoxum sceptrum;Dino;200.00;0.06;2013-04-23;0;Садок
Protoperidinium bipes;Dino;200.00;0.52;2013-04-23;0;Садок
Protoperidinium pellucidum;Dino;200.00;1.80;2013-04-23;0;Садок
Chaetoceros convolutus;Bacil;514.00;3.51;2013-04-23;2;Садок
Chaetoceros didymus;Bacil;6343.00;10.77;2013-04-23;2;Садок
Thalassiosira nordenskioeldii;Bacil;686.00;29.07;2013-04-23;2;Садок
Gyrodinium spirale;Dino;2571.00;285.06;2013-04-23;2;Садок
Oxytoxum sceptrum;Dino;171.00;0.06;2013-04-23;2;Садок
Protoperidinium pellucidum;Dino;343.00;3.08;2013-04-23;2;Садок
Pyrophacus horologium;Dino;171.00;19.08;2013-04-23;2;Садок
Chaetoceros didymus;Bacil;2043.00;3.47;2013-04-23;5;Садок
Grammatophora marina;Bacil;157.00;1.72;2013-04-23;5;Садок
Thalassiosira nordenskioeldii;Bacil;943.00;39.97;2013-04-23;5;Садок
